,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
30,Meenakshiji,University of Pennsylvania,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,60%,17 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Mukilraj,University of Texas at Dallas,Information Technology and Management,Spring 2019 ,Applied,306,TOEFL,85,8.52 CGPA ,25 months
2,danny6992,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Applied,298,TOEFL,80,62%,30 months
3,Prajesh06,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Applied,299,ENG TEST,NA ,71%,33 months
4,vikas24n,University of Texas at Dallas,Information Technology and Management,Spring 2018 ,Applied,307,TOEFL,85,73%,14 months
5,rmure04,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Applied,307,TOEFL,107,8 CGPA ,18 months
6,akshay-gavandi,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,304,TOEFL,101,64.91%,26 months
7,zombie,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,309,ENG TEST,NA ,60%,NA
8,Bwaj,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,306,IELTS,8,7.46 CGPA ,19 months
9,Sammy10,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,311,TOEFL,108,7.4 CGPA ,6 months
10,himanksahai,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,295,TOEFL,84,64.50%,44 months
11,jay27,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,301,IELTS,7,6.61 CGPA ,23 months
12,sidsingh0208,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,309,TOEFL,97,69.75%,45 months
13,NarenSham,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,317,TOEFL,105,6.33 CGPA ,57 months
14,Apartani,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,306,TOEFL,94,65%,36 months
15,theankitsingh,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Applied,311,TOEFL,108,7.8 CGPA ,NA
16,honey07,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Applied,310,TOEFL,90,7.31 CGPA ,36 months
17,pd1193,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Applied,305,TOEFL,95,7.27 CGPA ,13 months
19,Nishigandha,University of Texas at Dallas,Information Technology and Management,Fall 2019 ,Admit,N.A. ,ENG TEST,NA ,65.30%,18 months
20,Devyani1994,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,N.A. ,TOEFL,101,72.58%,23 months
21,amalk51,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,313,TOEFL,110,5.3 CGPA ,2 months
22,bodepudi,University of Texas at Dallas,Information Technology and Management,Spring 2019 ,Admit,308,IELTS,7,81%,20 months
23,Sindhuveer,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,300,TOEFL,87,63%,30 months
24,Sohini014,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,313,TOEFL,100,65%,12 months
25,nidhisa1989,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,306,TOEFL,96,73%,60 months
26,saurabh199,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,N.A. ,ENG TEST,NA ,7 CGPA ,60 months
27,sureshpv,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,310,TOEFL,115,68%,16 months
28,karthi2996,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,306,TOEFL,87,8.2 CGPA ,8 months
29,Sammy21,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,310,TOEFL,93,87.60%,19 months
30,GarimaK,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,308,TOEFL,98,6.94 CGPA ,36 months
31,manya-umamahesh,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,297,TOEFL,0,57.90%,3 months
32,somenbag,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,309,IELTS,0,72.12%,25 months
33,bharathreddii,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,305,TOEFL,104,6.24 CGPA ,NA
34,Rushikesh420,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,298,TOEFL,0,57.43%,6 months
35,Mitali5,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,316,TOEFL,0,7.1 CGPA ,NA
36,sankyv4,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,312,IELTS,7,7.56 CGPA ,20 months
37,almeida,University of Texas at Dallas,Information Technology and Management,Fall 2014 ,Admit,N.A. ,IELTS,7.5,68.83%,40 months
38,Snehaw,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Admit,299,TOEFL,97,72.30%,48 months
40,ne89si,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Reject,295,TOEFL,84,69%,60 months
41,Veedee,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Reject,309,TOEFL,117,70%,12 months
42,happsa,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Reject,285,IELTS,6.5,67%,12 months
43,Prernsha,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Reject,297,TOEFL,94,8.5 CGPA ,27 months
44,parthvaghasiya,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,297,IELTS,6.5,7.15 CGPA ,NA
45,Nityanand2009,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,297,TOEFL,89,69%,26 months
46,vaibhav.bavishi,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,300,TOEFL,98,7.26 CGPA ,6 months
47,harsharma91,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,304,IELTS,7,66.50%,45 months
48,ShreyasT,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,299,IELTS,6.5,7.52 CGPA ,4 months
49,MananShah24,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,305,TOEFL,86,74%,36 months
50,AshishMS,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,302,TOEFL,102,66.10%,34 months
51,vaishya,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,301,TOEFL,106,61%,37 months
52,adi-chauhan-1991991,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,308,TOEFL,106,74.50%,22 months
53,rajiv6,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Reject,306,TOEFL,102,72%,40 months
54,AvinashPallerlamudi,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Reject,300,TOEFL,86,84%,36 months
55,Samywad91,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Reject,301,TOEFL,85,62%,37 months
56,nickjuschill,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Reject,306,TOEFL,103,8.38 CGPA ,41 months
57,bhavana1992,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Reject,309,TOEFL,105,62%,24 months
59,kewalc,University of Texas at Dallas,Information Technology and Management,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
60,pranay1996,University of Texas at Dallas,Information Technology and Management,Fall 2019 ,Interested,310,TOEFL,99,6.48 CGPA ,12 months
61,SakshiMsUs,University of Texas at Dallas,Information Technology and Management,Spring 2018 ,Interested,304,TOEFL,95,67%,35 months
62,MAYURESHB5,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,317,TOEFL,102,54%,12 months
63,devusavla,University of Texas at Dallas,Information Technology and Management,Fall 2019 ,Interested,305,ENG TEST,NA ,70%,18 months
64,Ramoji,University of Texas at Dallas,Information Technology and Management,Spring 2019 ,Interested,311,TOEFL,97,62.30%,117 months
65,Ankurchintu,University of Texas at Dallas,Information Technology and Management,Fall 2019 ,Interested,315,IELTS,7.5,60%,30 months
66,rasan,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,305,IELTS,6,9 CGPA ,49 months
67,Shriya16,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,312,TOEFL,103,75%,17 months
68,Sunny33,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,N.A. ,IELTS,6.5,48%,NA
69,Sangam121,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,301,IELTS,7,68%,36 months
70,Kunalkk19,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,288,TOEFL,78,65%,36 months
71,banana,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,309,TOEFL,93,65%,18 months
72,HarveySpectre,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,315,IELTS,7,9 CGPA ,7 months
73,Amie16,University of Texas at Dallas,Information Technology and Management,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,71.44%,20 months
74,akshayasivakumar,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Interested,303,TOEFL,93,8.27 CGPA ,21 months
75,Pranayjeet,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Interested,307,TOEFL,96,64.17%,30 months
76,Nitinmanik,University of Texas at Dallas,Information Technology and Management,Spring 2017 ,Interested,310,TOEFL,100,54%,NA
77,aswinravichandran,University of Texas at Dallas,Information Technology and Management,Fall 2017 ,Interested,N.A. ,IELTS,6.5,69%,NA
78,deeptigm,University of Texas at Dallas,Information Technology and Management,Fall 2016 ,Interested,306,TOEFL,109,8.34 CGPA ,3 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Sai Nitish,University of Texas at Arlington,Management Information System,Spring 2019 ,Applied,N.A. ,ENG TEST,NA ,7.42 CGPA ,NA
2,varsha1507,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,289,TOEFL,94,70%,30 months
3,Nikhita Methwani,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,292,TOEFL,82,66%,44 months
4,Sr7,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,307,IELTS,7,5.87 CGPA ,9 months
5,Jayantmandhare,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,294,TOEFL,89,58%,34 months
6,Kaavya48,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,292,TOEFL,102,7.32 CGPA ,NA
7,preranaS,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,298,TOEFL,0,7.12 CGPA ,1 month
8,bhumiii3,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,NA
9,JohailSherieff,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,295,TOEFL,80,6.06 CGPA ,10 months
10,Mesram,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,297,IELTS,6.5,7.63 CGPA ,29 months
11,AishDubey,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,297,TOEFL,0,7.56 CGPA ,3 months
12,Twinkle02,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,294,IELTS,7.5,60%,7 months
13,vipul955,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,305,TOEFL,0,74%,3 months
14,shreeya17,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,300,TOEFL,92,72.39%,44 months
15,sudhir rai,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,306,IELTS,7,71.98%,48 months
16,Anuja2003,University of Texas at Arlington,Management Information System,Fall 2017 ,Applied,N.A. ,ENG TEST,NA ,65%,15 months
17,darshan bhansali,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,301,TOEFL,92,62%,5 months
18,amansingh007,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,292,TOEFL,89,7.13 CGPA ,38 months
19,sau1404,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,292,TOEFL,87,61%,18 months
20,HarshaSannapaneni,University of Texas at Arlington,Management Information System,Fall 2018 ,Applied,295,IELTS,6.5,7.4 CGPA ,24 months
22,Geethu93,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,N.A. ,TOEFL,110,7.5 CGPA ,16 months
23,Prateeksha1,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,299,TOEFL,94,76.90%,46 months
24,reynuca,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,304,TOEFL,99,57%,6 months
25,pranalimore808atgmail.com,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,305,ENG TEST,NA ,7.1 CGPA ,NA
26,AishwaryaPV,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,301,TOEFL,91,58%,40 months
27,yashhhhh,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,298,TOEFL,91,5.39 CGPA ,3 months
28,vishalraju,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,297,TOEFL,88,60%,NA
29,niteshnm,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,310,TOEFL,115,71.50%,48 months
30,Ajit-Kumar,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,303,TOEFL,81,75%,37 months
31,shubhm,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,307,TOEFL,0,74%,15 months
32,ashmarine,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,298,TOEFL,0,70%,5 months
33,bharathreddii,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,305,TOEFL,104,6.24 CGPA ,NA
34,Rohan14,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,310,TOEFL,96,68.68%,41 months
35,yameen,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,296,IELTS,6.5,7.95 CGPA ,19 months
36,pawmus,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,313,TOEFL,99,8.52 CGPA ,49 months
37,VivekShakya,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,310,TOEFL,102,59%,53 months
38,Aayushbaid,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,299,TOEFL,105,78%,2 months
39,drish1234,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,300,TOEFL,92,6 CGPA ,12 months
40,sankalp2610,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,306,TOEFL,99,74%,NA
41,Raja1119,University of Texas at Arlington,Management Information System,Fall 2018 ,Admit,304,TOEFL,87,75%,32 months
43,ChinmayArolkar,University of Texas at Arlington,Management Information System,Fall 2018 ,Reject,298,TOEFL,82,6.22 CGPA ,NA
44,hjhimanshujoshi529,University of Texas at Arlington,Management Information System,Fall 2017 ,Reject,302,TOEFL,102,5.6 CGPA ,8 months
45,dakshgupta,University of Texas at Arlington,Management Information System,Fall 2017 ,Reject,310,TOEFL,0,7.3 CGPA ,2 months
46,pahuja081,University of Texas at Arlington,Management Information System,Fall 2018 ,Reject,N.A. ,TOEFL,93,62%,45 months
47,AdityaShri1995,University of Texas at Arlington,Management Information System,Fall 2018 ,Reject,296,TOEFL,90,5.67 CGPA ,8 months
48,Cherish,University of Texas at Arlington,Management Information System,Fall 2018 ,Reject,294,TOEFL,87,69.44%,25 months
